nome;municipio;ano;IDHM;IDHM_Renda;IDHM_Educ;IDHM_Long
Angra dos Reis;ANGRA DOS REIS;1991;0.492;0.707;0.270;0.625
Aperibé;APERIBE;1991;0.483;0.700;0.300;0.535
Araruama;ARARUAMA;1991;0.449;0.676;0.228;0.587
Areal;AREAL;1991;0.491;0.715;0.288;0.575
Armação dos Búzios;ARMACAO DOS BUZIOS;1991;0.489;0.652;0.277;0.646
Arraial do Cabo;ARRAIAL DO CABO;1991;0.513;0.700;0.309;0.624
Barra do Piraí;BARRA DO PIRAI;1991;0.541;0.686;0.368;0.627
Barra Mansa;BARRA MANSA;1991;0.527;0.721;0.324;0.625
Belford Roxo;BELFORD ROXO;1991;0.468;0.630;0.288;0.566
Bom Jardim;BOM JARDIM;1991;0.412;0.644;0.180;0.604
Bom Jesus do Itabapoana;BOM JESUS DO ITABAPOANA;1991;0.490;0.648;0.322;0.565
Cabo Frio;CABO FRIO;1991;0.515;0.700;0.309;0.633
Cachoeiras de Macacu;CACHOEIRAS DE MACACU;1991;0.455;0.685;0.243;0.565
Cambuci;CAMBUCI;1991;0.464;0.675;0.261;0.568
Campos dos Goytacazes;CAMPOS DOS GOYTACAZES;1991;0.505;0.658;0.318;0.617
Cantagalo;CANTAGALO;1991;0.472;0.658;0.268;0.598
Carapebus;CARAPEBUS;1991;0.412;0.663;0.192;0.548
Cardoso Moreira;CARDOSO MOREIRA;1991;0.386;0.648;0.187;0.475
Carmo;CARMO;1991;0.502;0.663;0.328;0.580
Casimiro de Abreu;CASIMIRO DE ABREU;1991;0.491;0.702;0.277;0.610
Comendador Levy Gasparian;COMENDADOR LEVY GASPARIAN;1991;0.463;0.700;0.258;0.550
Conceição de Macabu;CONCEICAO DE MACABU;1991;0.483;0.642;0.306;0.573
Cordeiro;CORDEIRO;1991;0.552;0.658;0.406;0.630
Duas Barras;DUAS BARRAS;1991;0.405;0.607;0.197;0.556
Duque de Caxias;DUQUE DE CAXIAS;1991;0.506;0.670;0.320;0.604
Engenheiro Paulo de Frontin;ENGENHEIRO PAULO DE FRONTIN;1991;0.497;0.673;0.323;0.566
Guapimirim;GUAPIMIRIM;1991;0.405;0.615;0.190;0.570
Iguaba Grande;IGUABA GRANDE;1991;0.458;0.700;0.232;0.590
Itaboraí;ITABORAI;1991;0.415;0.630;0.199;0.569
Itaguaí;ITAGUAI;1991;0.483;0.652;0.291;0.595
Italva;ITALVA;1991;0.462;0.659;0.264;0.567
Itaocara;ITAOCARA;1991;0.497;0.700;0.305;0.576
Itaperuna;ITAPERUNA;1991;0.511;0.703;0.301;0.630
