SE,Inicio_SE,Fim_SE
10,2020-03-01,2020-03-07
11,2020-03-08,2020-03-14
12,2020-03-15,2020-03-21
13,2020-03-22,2020-03-28
14,2020-03-29,2020-04-04
15,2020-04-05,2020-04-11
16,2020-04-12,2020-04-18
17,2020-04-19,2020-04-25
18,2020-04-26,2020-05-02
19,2020-05-03,2020-05-09
20,2020-05-10,2020-05-16
21,2020-05-17,2020-05-23
22,2020-05-24,2020-05-30
23,2020-05-31,2020-06-06
24,2020-06-07,2020-06-13
25,2020-06-14,2020-06-20
26,2020-06-21,2020-06-27
27,2020-06-28,2020-07-04
28,2020-07-05,2020-07-11
29,2020-07-12,2020-07-18
30,2020-07-19,2020-07-25
31,2020-07-26,2020-08-01
32,2020-08-02,2020-08-08
33,2020-08-09,2020-08-15
34,2020-08-16,2020-08-22
35,2020-08-23,2020-08-29
36,2020-08-30,2020-09-05
37,2020-09-06,2020-09-12
38,2020-09-13,2020-09-19
39,2020-09-20,2020-09-26
40,2020-09-27,2020-10-03
41,2020-10-04,2020-10-10
42,2020-10-11,2020-10-17
43,2020-10-18,2020-10-24
44,2020-10-25,2020-10-31
45,2020-11-01,2020-11-07
46,2020-11-08,2020-11-14
47,2020-11-15,2020-11-21
48,2020-11-22,2020-11-28
49,2020-11-29,2020-12-05
50,2020-12-06,2020-12-12
51,2020-12-13,2020-12-19
