municipio;uf;area
Angra dos Reis;RJ;813,42
Aperibé;RJ;94,542
Araruama;RJ;638,276
Areal;RJ;110,724
Armação dos Búzios;RJ;70,977
Arraial do Cabo;RJ;152,106
Barra do Piraí;RJ;584,61
Barra Mansa;RJ;547,133
Belford Roxo;RJ;78,985
Bom Jardim;RJ;382,43
Bom Jesus do Itabapoana;RJ;596,659
Cabo Frio;RJ;413,449
Cachoeiras de Macacu;RJ;954,749
Cambuci;RJ;558,281
Campos dos Goytacazes;RJ;4032,487
Cantagalo;RJ;747,21
Carapebus;RJ;304,885
Cardoso Moreira;RJ;522,596
Carmo;RJ;305,749
Casimiro de Abreu;RJ;462,918
Comendador Levy Gasparian;RJ;108,639
Conceição de Macabu;RJ;338,26
Cordeiro;RJ;113,048
Duas Barras;RJ;379,619
Duque de Caxias;RJ;467,319
Engenheiro Paulo de Frontin;RJ;139,381
Guapimirim;RJ;358,443
Iguaba Grande;RJ;50,977
Itaboraí;RJ;429,961
Itaguaí;RJ;282,606
Italva;RJ;291,193
Itaocara;RJ;433,182
Itaperuna;RJ;1106,694
Itatiaia;RJ;241,035
Japeri;RJ;81,697
Laje do Muriaé;RJ;253,53
Macaé;RJ;1216,989
Macuco;RJ;78,364
Magé;RJ;390,775
Mangaratiba;RJ;367,606
Maricá;RJ;361,572
Mendes;RJ;95,324
Mesquita;RJ;41,169
Miguel Pereira;RJ;287,933
Miracema;RJ;303,27
Natividade;RJ;387,073
Nilópolis;RJ;19,393
Niterói;RJ;133,757
Nova Friburgo;RJ;935,429
Nova Iguaçu;RJ;520,581
Paracambi;RJ;190,949
Paraíba do Sul;RJ;571,118
Parati;RJ;924,296
Paty do Alferes;RJ;314,341
Petrópolis;RJ;791,144
Pinheiral;RJ;82,254
Piraí;RJ;490,255
Porciúncula;RJ;291,847
Porto Real;RJ;50,892
Quatis;RJ;284,826
Queimados;RJ;75,927
Quissamã;RJ;719,643
Resende;RJ;1099,336
Rio Bonito;RJ;459,458
Rio Claro;RJ;846,797
Rio das Flores;RJ;478,783
Rio das Ostras;RJ;228,044
Rio de Janeiro;RJ;1200,329
Santa Maria Madalena;RJ;810,963
Santo Antônio de Pádua;RJ;603,633
São Fidélis;RJ;1034,833
São Francisco de Itabapoana;RJ;1118,037
São Gonçalo;RJ;248,16
São João da Barra;RJ;452,396
São João de Meriti;RJ;35,216
São José de Ubá;RJ;249,688
São José do Vale do Rio Preto;RJ;220,178
São Pedro da Aldeia;RJ;332,488
São Sebastião do Alto;RJ;397,214
Sapucaia;RJ;540,673
Saquarema;RJ;352,13
Seropédica;RJ;265,189
Silva Jardim;RJ;937,755
Sumidouro;RJ;413,407
Tanguá;RJ;143,007
Teresópolis;RJ;773,338
Trajano de Moraes;RJ;591,151
Três Rios;RJ;322,843
Valença;RJ;1300,767
Varre-Sai;RJ;201,938
Vassouras;RJ;536,073
Volta Redonda;RJ;182,105
ABREULÂNDIA;TO;1906,295
AGUIARNÓPOLIS;TO;236,792
ALIANÇA DO TOCANTINS;TO;1580,999
ALMAS;TO;4007,152
ALVORADA;TO;1207,201
ANANÁS;TO;1581,058
ANGICO;TO;447,549
APARECIDA DO RIO NEGRO;TO;1159,034
ARAGOMINAS;TO;1168,213
ARAGUACEMA;TO;2774,505
ARAGUAÇU;TO;5155,223
ARAGUAÍNA;TO;4004,646
ARAGUANÃ;TO;834,834
ARAGUATINS;TO;2633,278
ARAPOEMA;TO;1558,138
ARRAIAS;TO;5803,085
AUGUSTINÓPOLIS;TO;388,81
AURORA DO TOCANTINS;TO;696,194
AXIXÁ DO TOCANTINS;TO;153,539
BABAÇULÂNDIA;TO;1790,297
BANDEIRANTES DO TOCANTINS;TO;1540,541
BARRA DO OURO;TO;1105,84
BARROLÂNDIA;TO;697,759
BERNARDO SAYÃO;TO;924,045
BOM JESUS DO TOCANTINS;TO;1326,947
BRASILÂNDIA DO TOCANTINS;TO;645,908
BREJINHO DE NAZARÉ;TO;1722,59
BURITI DO TOCANTINS;TO;252,73
CACHOEIRINHA;TO;351,535
CAMPOS LINDOS;TO;3234,445
CARIRI DO TOCANTINS;TO;1126,291
CARMOLÂNDIA;TO;339,366
CARRASCO BONITO;TO;190,352
CASEARA;TO;1680,014
CENTENÁRIO;TO;1953,134
CHAPADA DE AREIA;TO;658,564
CHAPADA DA NATIVIDADE;TO;1640,833
COLINAS DO TOCANTINS;TO;842,488
COMBINADO;TO;208,791
CONCEIÇÃO DO TOCANTINS;TO;2530,647
COUTO MAGALHÃES;TO;1584,196
CRISTALÂNDIA;TO;1850,75
CRIXÁS DO TOCANTINS;TO;983,766
DARCINÓPOLIS;TO;1641,77
DIANÓPOLIS;TO;3318,094
DIVINÓPOLIS DO TOCANTINS;TO;2358,282
DOIS IRMÃOS DO TOCANTINS;TO;3747,645
DUERÉ;TO;3420,657
ESPERANTINA;TO;506,175
FÁTIMA;TO;380,373
FIGUEIRÓPOLIS;TO;1935,709
FILADÉLFIA;TO;1991,258
FORMOSO DO ARAGUAIA;TO;13431,861
TABOCÃO;TO;624,463
GOIANORTE;TO;1797,229
GOIATINS;TO;6414,846
GUARAÍ;TO;2275,562
GURUPI;TO;1844,164
IPUEIRAS;TO;821,152
ITACAJÁ;TO;3047,204
ITAGUATINS;TO;730,163
ITAPIRATINS;TO;1246,349
ITAPORÃ DO TOCANTINS;TO;969,794
JAÚ DO TOCANTINS;TO;2167,201
JUARINA;TO;483,452
LAGOA DA CONFUSÃO;TO;10563,181
LAGOA DO TOCANTINS;TO;917,632
LAJEADO;TO;318,292
LAVANDEIRA;TO;468,006
