municipio;uf;ano;Despesas Exceto Intraorçamentárias;Despesas Intraorçamentárias;Outros;01 - Legislativa;04 - Administração;06 - Segurança Pública;08 - Assistência Social;09 - Previdência Social;10 - Saúde;12 - Educação;15 - Urbanismo;17 - Saneamento;20 - Agricultura;23 - Comércio e Serviços;26 - Transporte;28 - Encargos Especiais
ANGRA DOS REIS;RJ;2013;652778408.02;0.0;6945699.409999967;30154598.52;163880303.07;1765295.97;7235520.08;40490705.34;187724656.96;120637578.19;53712801.36;3594218.75;521794.57;583206.39;22767458.1;12764571.31
ARARUAMA;RJ;2013;228607004.89;5467040.37;5581833.049999982;6537207.27;53236766.42;61921.31;4780882.56;0.0;50043662.82;76775226.41;26175591.84;7460.0;422125.0;2696024.86;2018640.71;5736703.01
AREAL;RJ;2013;36215204.19;2295033.56;3912597.450000003;1539856.4;9980152.17;0.0;1429749.01;1586424.95;8418177.56;11103915.09;234509.16;297313.96;5416.0;2126.0;0.0;0.0
ARMACAO DOS BUZIOS;RJ;2013;169926896.75;0.0;909832.9100000262;5673513.4;35669089.55;917290.7;741213.33;1483776.85;48618608.62;49260094.81;21865851.03;0.0;0.0;2313075.42;149842.0;2324708.13
ARRAIAL DO CABO;RJ;2013;122030715.63;0.0;13077820.15000002;3309339.39;32399286.95;670357.23;3031341.75;4262130.04;21852796.13;25370281.06;15231438.57;0.0;0.0;1076053.8;512185.6;1237684.96
BARRA DO PIRAI;RJ;2013;151181003.24;8834559.43;12445194.330000013;5158269.09;31966424.45;2331520.9;2278282.98;11295419.75;40831723.93;37703822.73;6861418.29;3001399.26;776352.63;3040814.69;80854.99;2244064.65
BARRA MANSA;RJ;2013;311873171.02;0.0;11262919.639999986;0.0;56710271.4;0.0;5244001.78;40337915.57;90544970.48;80866863.86;17162731.67;0.0;930826.81;0.0;531999.4;8280670.41
BELFORD ROXO;RJ;2013;473636333.93;0.0;18826627.890000045;10775527.68;84611904.14;0.0;2011970.33;18554777.6;139768862.18;166439889.56;27579266.1;58169.88;0.0;0.0;1036163.24;3973175.33
BOM JARDIM;RJ;2013;62771643.15;3353428.9;4233115.9499999955;2191195.73;6579435.43;1211177.84;1261162.09;6831028.04;15266269.84;14566289.13;10064217.8;0.0;551029.75;1030097.16;2076559.12;263494.17
BOM JESUS DO ITABAPOANA;RJ;2013;69619114.05;0.0;351880.7699999958;3067417.92;11096711.39;0.0;3517854.74;0.0;15887735.31;18612079.9;10035374.25;4948548.6;571710.79;360450.4;21363.24;1147986.74
CABO FRIO;RJ;2013;737058943.41;18698368.48;37943048.52999997;13753720.75;143080422.49;260411.6;7682839.42;33537257.79;170011983.2;169753444.38;142623618.13;0.0;66828.9;3605189.15;25654332.61;7784214.94
CACHOEIRAS DE MACACU;RJ;2013;155282739.37;1575197.45;12449676.099999994;4528769.03;25926108.21;53199.8;1089724.42;8483827.24;48551669.15;40110363.22;4503032.8;3113618.79;1000382.46;1156744.18;2180717.04;3710104.38
CAMBUCI;RJ;2013;35670946.16;0.0;1736554.7699999958;1825190.41;7261510.08;0.0;933048.51;3825504.57;6371126.19;8522961.56;2306016.91;0.0;1104113.24;0.0;1784919.92;0.0
CARAPEBUS;RJ;2013;90838083.31;0.0;1382861.1099999994;3173001.62;36973135.37;11190.0;2846046.86;0.0;22150824.98;13696452.5;8504000.28;0.0;0.0;2100570.59;0.0;0.0
COMENDADOR LEVY GASPARIAN;RJ;2013;29893161.72;0.0;955962.3199999966;488628.5;8689667.93;0.0;646548.56;302990.4;8599625.3;6800680.49;2096032.17;0.0;13816.96;143617.81;0.0;1155591.28
CAMPOS DOS GOYTACAZES;RJ;2013;2252144654.3;0.0;232054181.7900002;26366101.27;610787341.27;994110.26;58218239.26;130837.82;613521877.12;330683285.83;287856384.4;21437996.4;3385332.62;1290238.22;51621554.74;13797173.3
CANTAGALO;RJ;2013;70401586.33;0.0;1235330.0600000024;3252671.4;12148905.09;958719.13;2247410.65;8730428.42;16404775.94;15695343.04;2446164.07;2427068.44;710079.75;1628299.97;1842116.83;674273.54
CARDOSO MOREIRA;RJ;2013;40011793.23;0.0;863967.4899999946;1670213.55;7869421.82;0.0;1663875.89;1676228.32;8614088.39;11767527.12;3369933.77;0.0;1519677.95;0.0;477113.56;519745.37
CARMO;RJ;2013;47359878.22;3455632.53;6555069.640000001;2152121.93;9210401.37;0.0;1679697.47;1596252.09;14870427.49;8610928.96;843502.97;3109249.33;367154.83;555587.55;795133.17;469983.95
CASIMIRO DE ABREU;RJ;2013;202434975.23;7225455.88;24421201.129999965;5886754.95;40449554.16;5548754.57;8581156.68;5228417.0;52323313.62;28915803.22;15984155.6;7179644.16;2506677.77;618204.72;1750700.19;10266093.34
CONCEICAO DE MACABU;RJ;2013;48753311.58;3011598.21;3355649.740000002;2277528.56;12390684.13;0.0;1876870.91;2959901.53;11273223.48;11285595.28;3366096.75;1034377.14;48955.91;1676205.0;0.0;219821.36
CORDEIRO;RJ;2013;52136133.29;0.0;1473529.9600000083;1910823.91;6746599.66;126327.44;842981.94;3934782.51;15678961.48;12751539.33;6299506.5;0.0;703846.73;1667233.83;0.0;0.0
DUAS BARRAS;RJ;2013;36315946.09;2248428.7;3726770.8300000057;1574146.47;1778747.71;402975.23;995397.43;4404474.08;9084825.05;9913089.56;2616636.46;193.96;603876.82;1003748.96;1860993.2;598499.03
DUQUE DE CAXIAS;RJ;2013;1608172262.13;0.0;10183881.869999886;47338001.15;71484984.85;16803572.42;10765013.21;233432107.0;410313880.79;519320566.17;130717635.64;0.0;0.0;0.0;1837670.65;155974948.38
ENGENHEIRO PAULO DE FRONTIN;RJ;2013;37026458.1;0.0;278841.2599999979;1605955.31;14736218.43;0.0;1305675.31;0.0;8899822.83;7990484.23;1526129.53;0.0;0.0;683331.2;0.0;0.0
GUAPIMIRIM;RJ;2013;127619392.73;0.0;216032.23000000417;914679.84;58306334.35;0.0;2750788.12;0.0;30675609.57;25204959.4;9550989.22;0.0;0.0;0.0;0.0;0.0
IGUABA GRANDE;RJ;2013;64359996.71;0.0;2321620.440000005;2851997.82;12362377.31;2190981.62;3146160.27;328027.72;20893421.43;14294285.47;1028273.26;3847980.33;0.0;0.0;0.0;1094871.04
ITABORAI;RJ;2013;541647321.53;0.0;11463057.029999971;9675745.07;119234421.79;147685.21;1918625.06;26919178.53;168501645.34;166677785.78;30458085.16;1064707.79;398442.32;0.0;5187942.45;0.0
ITAGUAI;RJ;2013;384791857.19;19166964.33;22663911.619999945;3733293.28;127191265.31;236455.64;7439816.73;0.0;90539216.64;118398110.88;5690017.33;0.0;361071.6;0.0;23548220.29;4157442.2
ITALVA;RJ;2013;36769339.57;1944603.47;5552249.489999998;1701228.18;3500450.44;1133372.17;1345629.09;2697347.1;10047947.34;7958721.86;1671694.01;39300.0;1218817.93;0.0;635919.38;1211266.05
ITAOCARA;RJ;2013;48411155.6;1730453.88;47875968.71;2265640.77;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ITAPERUNA;RJ;2013;163344472.58;801945.62;1747324.0900000036;5137859.58;25573092.74;127048.72;3900007.34;6944337.02;60110937.01;43602504.37;12831912.04;729880.83;1046999.04;475394.58;995365.19;923755.65
ITATIAIA;RJ;2013;108884768.41;0.0;1934298.9200000018;5092085.61;31998648.54;45866.9;1552432.78;2157589.88;26257409.65;24957077.75;11402739.07;108853.72;416780.0;415990.54;0.0;2544995.05
JAPERI;RJ;2013;125141302.81;3916889.81;5032442.1400000155;4028589.63;15160113.97;0.0;1200528.29;5001316.61;30444851.96;53315367.83;13723331.73;1065529.52;44500.0;0.0;0.0;41620.94
LAJE DO MURIAE;RJ;2013;25025357.18;1180445.96;1753138.3499999978;1446785.15;3382356.95;0.0;910357.22;1199861.54;8018524.66;4321377.11;3939373.43;0.0;427594.66;657091.01;149343.06;0.0
MACAE;RJ;2013;1594191583.78;115407230.11;252607705.16999984;43609079.22;454498226.29;249180.82;22948351.16;13993576.98;379117830.14;340614488.3;93527259.24;19178529.41;6617615.24;0.0;70039408.59;12597563.33
MACUCO;RJ;2013;31962934.63;0.0;2751826.5999999978;1479854.16;5685569.05;41556.37;1101643.67;0.0;8007393.48;6363979.86;4331747.44;0.0;581230.17;1618133.83;0.0;0.0
MAGE;RJ;2013;341531334.7;4897154.41;11669371.02000004;4104179.49;38687222.69;2414176.33;7321529.43;11862275.21;79638217.95;125342274.26;59067105.9;0.0;39220.0;0.0;3052978.03;3229938.8
MANGARATIBA;RJ;2013;256765837.58;200829.44;10420181.5;10611848.94;64072641.0;0.0;887333.39;8563786.57;44282451.33;56937663.93;36192248.96;769964.53;0.0;3840929.0;4129708.43;16257909.44
MARICA;RJ;2013;360460473.73;5592432.68;32238300.75000006;7307390.08;86894957.82;0.0;2959852.38;13221289.47;64586540.66;70331434.64;67690363.64;0.0;7695.0;1321232.7;2465524.83;17028324.44
MENDES;RJ;2013;44145189.54;934612.28;1528570.059999995;1916707.6;6478644.32;32100.54;1972116.15;775083.63;12387069.66;13081450.13;3013808.06;51314.79;318906.51;1085553.95;1739839.39;698637.03
MESQUITA;RJ;2013;195309231.58;9711679.71;13371071.960000038;6190007.0;45504566.6;29450.66;1591407.38;367807.2;43548428.8;58821565.56;20978762.18;14617843.95;0.0;0.0;0.0;0.0
MIGUEL PEREIRA;RJ;2013;61494262.47;0.0;2772590.120000005;2922209.54;7892046.59;30583.74;1971160.68;3292053.6;17799820.84;15529643.67;4663526.86;234265.19;386569.5;1298868.02;2700924.12;0.0
MIRACEMA;RJ;2013;63208182.78;2751226.59;7141313.290000007;2348041.0;11417036.68;601320.0;2134652.0;6361540.0;15430382.0;13818959.7;3471023.6;0.0;2242842.5;0.0;764939.0;227359.6
NATIVIDADE;RJ;2013;52765289.89;0.0;622289.9300000072;1801497.7;13241528.61;0.0;569558.75;3585569.25;11627686.58;9900565.16;9359362.69;0.0;1043022.48;1014208.74;0.0;0.0
NILOPOLIS;RJ;2013;194552158.97;866291.0;10043970.810000002;6713489.73;47897833.95;2456344.57;1757888.12;0.0;55177481.96;42087546.4;24709508.83;0.0;0.0;155205.36;1253544.7;3165635.54
NITEROI;RJ;2013;1261009741.51;0.0;25297789.69999981;43342434.18;84648438.59;10354114.54;8268386.32;218951261.28;322762612.37;226531698.8;101258486.67;120569385.69;0.0;0.0;24464599.69;74560533.68
NOVA FRIBURGO;RJ;2013;299925987.99;0.0;3133697.4599999785;9856713.41;51588667.18;1730766.82;1582896.91;11246251.49;104228731.67;81042112.7;23344166.55;0.0;1243500.0;1466366.44;1515905.18;7946212.18
NOVA IGUACU;RJ;2013;912853361.67;88264705.68;106594949.19999981;17119212.28;119485826.94;2990665.34;6782947.29;113703723.53;273851339.58;248849981.02;74160858.62;885480.99;0.0;0.0;349794.86;36343287.7
PARACAMBI;RJ;2013;100157467.52;0.0;3960756.9099999964;2803155.91;9877086.34;1160134.08;1793593.31;2050237.61;35182712.06;25501956.49;14947885.24;0.0;219785.83;0.0;206974.32;2453189.42
PARAIBA DO SUL;RJ;2013;75634717.59;2242838.63;4486359.109999999;3195491.6;13352336.55;67607.63;342584.55;5402301.8;21154682.51;24164477.71;2924818.72;44086.0;43113.28;1048079.07;440989.84;1210627.85
PARATY;RJ;2013;149066155.11;0.0;5167014.5;4665664.3;20000504.68;4011519.29;3143594.65;0.0;46496424.88;28502704.59;29199589.26;114795.3;1850566.32;4677309.54;0.0;1236467.8
PATY DO ALFERES;RJ;2013;56995731.54;2599410.9;4871595.330000006;2500634.0;13790374.22;478058.2;1702216.62;2262741.28;16690014.91;13570537.1;1150754.56;117989.73;523347.9;1862358.36;0.0;74520.23
