ano;uf;codmun;municipio;nome;gini
2000;RJ;330010;ANGRA DOS REIS;Angra dos Reis;0.5537
2000;RJ;330015;APERIBE;Aperibé;0.5591
2000;RJ;330020;ARARUAMA;Araruama;0.5773
2000;RJ;330022;AREAL;Areal;0.5331
2000;RJ;330023;ARMACAO DOS BUZIOS;Armação dos Búzios;0.5950
2000;RJ;330025;ARRAIAL DO CABO;Arraial do Cabo;0.5116
2000;RJ;330030;BARRA DO PIRAI;Barra do Piraí;0.5289
2000;RJ;330040;BARRA MANSA;Barra Mansa;0.5472
2000;RJ;330045;BELFORD ROXO;Belford Roxo;0.4847
2000;RJ;330050;BOM JARDIM;Bom Jardim;0.5406
2000;RJ;330060;BOM JESUS DO ITABAPOANA;Bom Jesus do Itabapoana;0.5380
2000;RJ;330070;CABO FRIO;Cabo Frio;0.6022
2000;RJ;330080;CACHOEIRAS DE MACACU;Cachoeiras de Macacu;0.5037
2000;RJ;330090;CAMBUCI;Cambuci;0.5289
2000;RJ;330100;CAMPOS DOS GOYTACAZES;Carapebus;0.5750
2000;RJ;330110;CANTAGALO;Comendador Levy Gasparian;0.5693
2000;RJ;330093;CARAPEBUS;Campos dos Goytacazes;0.4376
2000;RJ;330115;CARDOSO MOREIRA;Cantagalo;0.5184
2000;RJ;330120;CARMO;Cardoso Moreira;0.5988
2000;RJ;330130;CASIMIRO DE ABREU;Carmo;0.5160
2000;RJ;330095;COMENDADOR LEVY GASPARIAN;Casimiro de Abreu;0.4913
2000;RJ;330140;CONCEICAO DE MACABU;Conceição de Macabu;0.5082
2000;RJ;330150;CORDEIRO;Cordeiro;0.5246
2000;RJ;330160;DUAS BARRAS;Duas Barras;0.5172
2000;RJ;330170;DUQUE DE CAXIAS;Duque de Caxias;0.5241
2000;RJ;330180;ENGENHEIRO PAULO DE FRONTIN;Engenheiro Paulo de Frontin;0.5151
2000;RJ;330185;GUAPIMIRIM;Guapimirim;0.5535
2000;RJ;330187;IGUABA GRANDE;Iguaba Grande;0.5634
2000;RJ;330190;ITABORAI;Itaboraí;0.5170
2000;RJ;330200;ITAGUAI;Itaguaí;0.5423
2000;RJ;330205;ITALVA;Italva;0.5354
2000;RJ;330210;ITAOCARA;Itaocara;0.6250
2000;RJ;330220;ITAPERUNA;Itaperuna;0.5496
2000;RJ;330225;ITATIAIA;Itatiaia;0.5461
2000;RJ;330227;JAPERI;Japeri;0.5217
2000;RJ;330230;LAJE DO MURIAE;Laje do Muriaé;0.4982
2000;RJ;330240;MACAE;Macaé;0.5638
2000;RJ;330245;MACUCO;Macuco;0.5434
2000;RJ;330250;MAGE;Magé;0.5206
2000;RJ;330260;MANGARATIBA;Mangaratiba;0.5634
2000;RJ;330270;MARICA;Maricá;0.5511
2000;RJ;330280;MENDES;Mendes;0.5390
2000;RJ;330285;MESQUITA;Mesquita;0.0000
2000;RJ;330290;MIGUEL PEREIRA;Miguel Pereira;0.6292
2000;RJ;330300;MIRACEMA;Miracema;0.5974
2000;RJ;330310;NATIVIDADE;Natividade;0.5816
2000;RJ;330320;NILOPOLIS;Nilópolis;0.4795
2000;RJ;330330;NITEROI;Niterói;0.5883
