municipio;ano;populacao
Angra dos Reis;2000;98229
Aperibé;2000;8079
Araruama;2000;75411
Areal;2000;9596
Armação dos Búzios;2000;17729
Arraial do Cabo;2000;22858
Barra do Piraí;2000;90648
Barra Mansa;2000;169648
Belford Roxo;2000;433348
Bom Jardim;2000;23131
Bom Jesus do Itabapoana;2000;34190
Cabo Frio;2000;125208
Cachoeiras de Macacu;2000;46159
Cambuci;2000;14758
Campos dos Goytacazes;2000;401214
Cantagalo;2000;19237
Carapebus;2000;9318
Cardoso Moreira;2000;11674
Carmo;2000;15672
Casimiro de Abreu;2000;23125
Comendador Levy Gasparian;2000;7653
Conceição de Macabu;2000;19284
Cordeiro;2000;18120
Duas Barras;2000;10020
Duque de Caxias;2000;756738
Engenheiro Paulo de Frontin;2000;12948
Guapimirim;2000;38612
Iguaba Grande;2000;11075
Itaboraí;2000;178002
Itaguaí;2000;76058
Italva;2000;13625
Itaocara;2000;23644
Itaperuna;2000;87739
Itatiaia;2000;25118
Japeri;2000;83371
Laje do Muriaé;2000;7646
Macaé;2000;129576
Macuco;2000;5941
Magé;2000;200255
Mangaratiba;2000;22764
Maricá;2000;68728
Mendes;2000;17747
Mesquita;2000;164879
Miguel Pereira;2000;20751
Miracema;2000;24144
Natividade;2000;15620
Nilópolis;2000;152787
Niterói;2000;462884
Nova Friburgo;2000;171154
Nova Iguaçu;2000;873583
Paracambi;2000;41869
Paraíba do Sul;2000;33315
Parati;2000;32116
Paty do Alferes;2000;23245
Petrópolis;2000;282182
Pinheiral;2000;19958
Piraí;2000;25904
Porciúncula;2000;16319
Porto Real;2000;9472
Quatis;2000;11070
Queimados;2000;117068
Quissamã;2000;14118
Resende;2000;102729
Rio Bonito;2000;47670
Rio Claro;2000;15304
Rio das Flores;2000;6223
Rio das Ostras;2000;33275
Rio de Janeiro;2000;5613897
Santa Maria Madalena;2000;10598
Santo Antônio de Pádua;2000;34667
São Fidélis;2000;38105
São Francisco de Itabapoana;2000;38015
São Gonçalo;2000;880561
São João da Barra;2000;29861
São João de Meriti;2000;441858
São José de Ubá;2000;5862
São José do Vale do Rio Preto;2000;16642
São Pedro da Aldeia;2000;63195
São Sebastião do Alto;2000;8372
Sapucaia;2000;17923
Saquarema;2000;50181
Seropédica;2000;59584
Silva Jardim;2000;19650
Sumidouro;2000;13811
Tanguá;2000;25783
Teresópolis;2000;129010
Trajano de Moraes;2000;10358
Três Rios;2000;66711
Valença;2000;62065
Varre-Sai;2000;8046
Vassouras;2000;29500
Volta Redonda;2000;242845
Angra dos Reis;2005;140345
Aperibé;2005;9087
Araruama;2005;97701
Areal;2005;10957
Armação dos Búzios;2005;23011
Arraial do Cabo;2005;26390
Barra do Piraí;2005;94332
Barra Mansa;2005;175328
Belford Roxo;2005;480695
Bom Jardim;2005;23917
Bom Jesus do Itabapoana;2005;36024
Cabo Frio;2005;159685
Cachoeiras de Macacu;2005;53765
Cambuci;2005;14439
Campos dos Goytacazes;2005;426212
Cantagalo;2005;20717
Carapebus;2005;10170
Cardoso Moreira;2005;12465
Carmo;2005;15778
Casimiro de Abreu;2005;26243
Comendador Levy Gasparian;2005;8455
Conceição de Macabu;2005;19674
Cordeiro;2005;19764
Duas Barras;2005;10622
Duque de Caxias;2005;842890
Engenheiro Paulo de Frontin;2005;12229
Guapimirim;2005;44139
Iguaba Grande;2005;19346
Itaboraí;2005;215877
Itaguaí;2005;93662
Italva;2005;12531
Itaocara;2005;23047
Itaperuna;2005;92183
Itatiaia;2005;30168
Japeri;2005;94239
Laje do Muriaé;2005;8188
Macaé;2005;156410
Macuco;2005;4478
Magé;2005;232251
Mangaratiba;2005;29272
Maricá;2005;95653
Mendes;2005;17722
Mesquita;2005;182546
Miguel Pereira;2005;26694
Miracema;2005;28300
Natividade;2005;15430
Nilópolis;2005;150968
Niterói;2005;474046
Nova Friburgo;2005;177388
Nova Iguaçu;2005;830902
Paracambi;2005;43011
Paraíba do Sul;2005;39595
Parati;2005;33062
Paty do Alferes;2005;27334
Petrópolis;2005;306002
Pinheiral;2005;22476
Piraí;2005;24021
Porciúncula;2005;16823
Porto Real;2005;14820
Quatis;2005;11960
Queimados;2005;136509
Quissamã;2005;15683
Resende;2005;117416
Rio Bonito;2005;52529
Rio Claro;2005;17834
Rio das Flores;2005;8361
Rio das Ostras;2005;47819
Rio de Janeiro;2005;6094183
Santa Maria Madalena;2005;10242
Santo Antônio de Pádua;2005;42078
São Fidélis;2005;38172
São Francisco de Itabapoana;2005;46024
São Gonçalo;2005;960841
São João da Barra;2005;28609
São João de Meriti;2005;464327
São José de Ubá;2005;6689
São José do Vale do Rio Preto;2005;21662
São Pedro da Aldeia;2005;76414
São Sebastião do Alto;2005;8747
Sapucaia;2005;18240
Saquarema;2005;61591
Seropédica;2005;75032
Silva Jardim;2005;23222
Sumidouro;2005;14927
Tanguá;2005;29481
Teresópolis;2005;148965
Trajano de Moraes;2005;9661
Três Rios;2005;75744
Valença;2005;69756
Varre-Sai;2005;8309
Vassouras;2005;33206
Volta Redonda;2005;255695
Angra dos Reis;2011;173369
Aperibé;2011;10381
Araruama;2011;114250
Areal;2011;11540
Armação dos Búzios;2011;28278
Arraial do Cabo;2011;28010
Barra do Piraí;2011;95260
Barra Mansa;2011;178355
Belford Roxo;2011;472008
Bom Jardim;2011;25539
Bom Jesus do Itabapoana;2011;35546
Cabo Frio;2011;190786
Cachoeiras de Macacu;2011;54713
Cambuci;2011;14839
Campos dos Goytacazes;2011;468086
Cantagalo;2011;19830
