municipio;ano;pop;Royalties;royalties per capita
Angra dos Reis;2016;188276;68380093.93;181.60 
Angra dos Reis;2017;191504;83315315.51;217.53 
Angra dos Reis;2018;191504;150419125.43;392.73 
Angra dos Reis;2019;200407;160400350.42;400.19 
Angra dos Reis;2020;203785;141048732.39;346.07 
Angra dos Reis;2021;203785;188700860;925.9801274
Angra dos Reis;2022;203785;109304902;536.3736384
Aperibé;2016;11023;604629.46;27.43 
Aperibé;2017;11160;6002077.82;268.91 
Aperibé;2018;11160;9350447.29;418.93 
Aperibé;2019;11612;10568417.65;455.06 
Aperibé;2020;11759;10388467;441.72 
Aperibé;2021;11759;13878209;1180.220154
Aperibé;2022;11759;8061161;685.5311464
Araruama;2016;122865;8759726.62;35.65 
Araruama;2017;124940;11516081.37;46.09 
Araruama;2018;124940;41470411.46;165.96 
Araruama;2019;130439;105130243.55;402.99 
Araruama;2021;130439;137046629;1050.656854
Araruama;2022;130439;94813603;726.8807844
Areal;2016;11970;766870.78;32.03 
Areal;2017;12058;1021388.87;42.35 
Areal;2018;12058;1551149.62;128.64 
Areal;2019;12471;1739570.25;69.74 
Areal;2020;12572;7055596.54;280.61 
Areal;2021;12572;13878209;1103.898249
Areal;2022;12572;12368472;983.8110309
Armação dos Búzios;2016;31067;34896983.86;561.64 
Armação dos Búzios;2017;31674;45788604.74;722.81 
Armação dos Búzios;2018;31674;82561078.52;1303.29 
Armação dos Búzios;2019;33240;81680758.33;1228.65 
Armação dos Búzios;2020;33870;118121691.97;1743.75 
Armação dos Búzios;2021;33870;231234950;6827.131676
Armação dos Búzios;2022;33870;106497129;3144.2908
Arraial do Cabo;2016;29097;47692551.28;819.54 
Arraial do Cabo;2017;29077;30394690.39;522.66 
Arraial do Cabo;2018;29077;71118816.51;1222.94 
Arraial do Cabo;2020;30349;99301869.69;1636.00 
Arraial do Cabo;2021;30349;151921108;5005.802771
Arraial do Cabo;2022;30349;90990384;2998.13449
Barra Mansa;2016;179915;12239687.79;34.02 
Barra Mansa;2017;180126;16470458.42;45.72 
Barra Mansa;2018;180126;22422148.81;62.24 
Barra Mansa;2019;183976;25233627.31;68.58 
Barra Mansa;2020;184412;25737566.90;69.78 
Barra Mansa;2021;184412;27044671;146.6535297
Barra Mansa;2022;184412;16858547;91.41784385
Barra do Piraí;2016;96865;9172675.80;47.35 
Barra do Piraí;2017;97152;11766636.68;60.56 
Barra do Piraí;2018;97152;17525228.10;90.19 
Barra do Piraí;2019;99969;24852973.42;248.61 
Barra do Piraí;2021;99969;33071564;330.8181941
Barra do Piraí;2022;99969;18286765;182.9243613
Belford Roxo;2016;481127;11920157.18;12.39 
Belford Roxo;2017;494141;16355863.71;16.55 
Belford Roxo;2018;494141;25712611.10;26.02 
Belford Roxo;2019;508614;27289535.08;26.83 
Belford Roxo;2020;510906;27593635.90;27.00 
Belford Roxo;2021;510906;26434684;51.740797
Belford Roxo;2022;510906;15354592;30.05365369
Bom Jardim;2016;26278;5998701.86;114.14 
Bom Jardim;2017;26424;7976851.19;150.94 
Bom Jardim;2018;26424;12285357.45;232.47 
Bom Jardim;2019;27269;13393077.56;245.57 
Bom Jardim;2020;27446;13672116.12;249.07 
Bom Jardim;2021;27446;17843411;650.1279359
Bom Jardim;2022;27446;10364350;377.6269595
Bom Jesus do Itabapoana;2016;35964;6381889.53;88.73 
Bom Jesus do Itabapoana;2017;36031;8543138.88;118.55 
Bom Jesus do Itabapoana;2018;36031;13162221.20;182.65 
Bom Jesus do Itabapoana;2019;36985;14394163.10;194.59 
Bom Jesus do Itabapoana;2020;37096;14935608.86;201.31 
Bom Jesus do Itabapoana;2021;37096;19165146;516.6364449
