municipio;ano;Royalties Estado;Cessão Onerosa - PBAM;Royalties - ANP;Royalties - CFH;Royalties - CFM;Royalties - FEP;Royalties - PEA;Total Geral
ANGRA DOS REIS;2016;10924249.98;0;56870817.76;0;107326.63;477699.56;0;68380093.93
ANGRA DOS REIS;2017;12012395.14;0;70579963.26;0;96315.36;629284.34;0;83317958.10
ANGRA DOS REIS;2018;22461897.69;0;126898759.36;0;92496.22;965972.16;0;150419125.43
ANGRA DOS REIS;2019;27705910.35;3370025.63;131589111.42;0;112282.94;993045.71;0;163770376.05
ANGRA DOS REIS;2020;18001899.84;0;121899267.39;0;163365.39;984199.77;0;141048732.39
APERIBE;2016;529419.10;0;3857234.66;0;3768.60;75210.36;0;4465632.72
APERIBE;2017;747936.94;0;5155295.69;0;2090.66;99009.82;0;6004333.11
APERIBE;2018;1222566.14;0;7975846.74;0;527.49;152034.41;0;9350974.78
APERIBE;2019;1129244.99;515330.77;8771989.33;0;296.52;151852.56;0;10568714.17
APERIBE;2020;1247376.11;0;8990624.95;0;87.10;150465.94;0;10388554.10
ARARUAMA;2016;1263774.62;0;6999113.45;0;177194.52;319644.03;0;8759726.62
ARARUAMA;2017;1689502.21;0;9337452.49;0;68706.81;420791.74;0;11516453.25
ARARUAMA;2018;2763373.13;0;37959326.71;0;102071.42;646146.30;0;41470917.56
ARARUAMA;2019;3087156.90;2318988.45;98828590.56;0;113726.99;683336.48;149126.52;105180925.90
ARARUAMA;2020;3580353.63;0;120339487.76;0;153683.36;677096.89;301924.15;125052545.79
AREAL;2016;691660.42;0;;43583.79;1532.60;75210.36;0;811987.17
AREAL;2017;922582.12;0;;49786.13;0;99009.82;0;1071378.07
AREAL;2018;1399115.21;0;;47606.31;0;152034.41;0;1598755.93
AREAL;2019;1533463.37;515330.77;0;54254.32;0;151852.56;0;2254901.02
AREAL;2020;1550799.58;0;5284227.10;70103.92;4035.26;150465.94;0;7059631.80
ARMACAO DOS BUZIOS;2016;1033221.14;0;32976924.39;0;;150420.71;736417.62;34896983.86
ARMACAO DOS BUZIOS;2017;1469353.20;0;41404581.65;0;;198019.64;2732365.79;45804320.28
ARMACAO DOS BUZIOS;2018;2288568.21;0;72748526.33;0;;304068.84;7219915.14;82561078.52
ARMACAO DOS BUZIOS;2019;2413459.61;1030661.53;72813998.98;0;;303705.10;6149594.64;82711419.86
ARMACAO DOS BUZIOS;2020;2737510.87;0;114398973.82;0;9777.19;338548.42;451050.51;117935860.81
ARRAIAL DO CABO;2016;842516.40;0;46718416.73;0;;131618.15;0;47692551.28
ARRAIAL DO CABO;2017;1057336.73;0;29136437.74;0;;173267.19;27881.05;30394922.71
ARRAIAL DO CABO;2018;1469408.77;0;68560003.61;0;;266060.24;823343.89;71118816.51
ARRAIAL DO CABO;2019;1559128.02;901828.84;74220592.35;0;;265741.96;1271650.45;78218941.62
ARRAIAL DO CABO;2020;1948631.32;0;96625171.73;0;;263315.47;464751.17;99301869.69
BARRA DO PIRAI;2016;1104379.62;0;6619747.32;1134509.69;19427.37;282038.85;0;9160102.85
BARRA DO PIRAI;2017;1435127.74;0;8837687.71;1109476.80;13373.52;371286.81;0;11766952.58
BARRA DO PIRAI;2018;2199244.22;0;13673058.49;1284957.05;6344.02;570129.06;0;17733732.84
BARRA DO PIRAI;2019;2317217.16;1932490.37;15037696.10;1696856.42;3300432.98;569447.08;0;24854140.11
BARRA DO PIRAI;2020;2373394.68;0;19762752.29;1718862.01;3159666.77;564247.40;0;27578923.15
BARRA MANSA;2016;2886187.96;0;8616478.66;0;259321.61;477699.56;0;12239687.79
BARRA MANSA;2017;3471996.06;0;12254931.69;0;115010.14;629284.34;0;16471222.23
BARRA MANSA;2018;4413762.65;0;16930491.98;0;111922.02;965972.16;0;22422148.81
BARRA MANSA;2019;4127557.29;3370025.63;17601057.12;0;2511967.19;993045.71;0;28603652.94
BARRA MANSA;2020;4261295.95;0;17603975.76;0;2888095.42;984199.77;0;25737566.90
BELFORD ROXO;2016;4090189.49;0;7352268.13;0;8158.36;477699.56;0;11928315.54
BELFORD ROXO;2017;5905586.78;0;9819621.66;0;515.47;629284.34;0;16355008.25
BELFORD ROXO;2018;9554424.66;0;15192214.28;0;76.16;965972.16;0;25712687.26
BELFORD ROXO;2019;9642969.42;3370025.63;16708551.19;0;1580.82;993045.71;0;30716172.77
BELFORD ROXO;2020;9513767.00;0;17125045.65;0;11328.87;984199.77;0;27634341.29
BOM JARDIM;2016;870979.80;0;4962780.96;0;33322.95;131618.15;0;5998701.86
BOM JARDIM;2017;1161770.05;0;6628250.65;0;13819.02;173267.19;0;7977106.91
BOM JARDIM;2018;1735369.09;0;10254744.55;0;29183.57;266060.24;0;12285357.45
BOM JARDIM;2019;1810340.12;901828.84;11278272.03;0;38723.45;265741.96;0;14294906.40
BOM JARDIM;2020;1800269.63;0;11559381.89;0;49149.13;263315.47;0;13672116.12
BOM JESUS DO ITABAPOANA;2016;851055.41;0;5330394.35;50019.06;0;150420.71;0;6381889.53
BOM JESUS DO ITABAPOANA;2017;1138990.27;0;7119227.56;87152.11;0;198019.64;0;8543389.58
BOM JESUS DO ITABAPOANA;2018;1749678.09;0;11014355.31;94118.96;418.89;304068.84;0;13162640.09
BOM JESUS DO ITABAPOANA;2019;1860687.77;1030661.53;12113699.47;116010.65;602.44;303705.10;0;15425366.96
BOM JESUS DO ITABAPOANA;2020;1948614.08;0;12415658.03;276594.13;32388.22;300931.96;0;14974186.42
CABO FRIO;2016;3802709.22;0;84650774.64;0;173539.74;477699.56;5104103.50;94208826.66
CABO FRIO;2017;5486342.13;0;105685901.51;0;111289.74;629284.34;17023894.90;128936712.62
CABO FRIO;2018;8203255.24;0;155232000.70;0;73554.68;965972.16;43035291.24;207510074.02
CABO FRIO;2019;8308407.14;3370025.63;149792305.01;0;68614.36;993045.71;35215332.32;197747730.17
CABO FRIO;2020;8805836.25;0;160589185.42;0;84789.76;984199.77;4065710.70;174529721.90
CACHOEIRAS DE MACACU;2016;1366242.82;0;27504301.31;0;100974.97;206828.50;0;29178347.60
CACHOEIRAS DE MACACU;2017;1829977.68;0;38813361.61;0;134972.68;272277.01;0;41050588.98
CACHOEIRAS DE MACACU;2018;2726466.69;0;27682220.41;0;92871.90;418094.65;0;30919653.65
CACHOEIRAS DE MACACU;2019;2990914.46;1417159.61;31744095.40;0;71054.61;417594.53;0;36640818.61
CACHOEIRAS DE MACACU;2020;3115089.82;0;41763178.26;0;117517.93;413781.42;0;45409567.43
CAMBUCI;2016;648965.36;0;4227554.10;0;495.29;94012.96;0;4971027.71
CAMBUCI;2017;869429.22;0;5646287.79;0;23744.83;123762.29;0;6663224.13
CAMBUCI;2018;1389557.79;0;8735523.14;0;24484.61;190043.01;0;10339608.55
CAMBUCI;2019;1520631.06;644163.46;9607416.83;0;17327.78;189815.70;0;11979354.83
CAMBUCI;2020;1544056.95;0;9846350.95;0;14944.33;188082.45;0;11593434.68
CAMPOS DOS GOYTACAZES;2016;9563699.86;0;299899607.01;0;234468.59;477699.56;80707571.16;390883046.18
CAMPOS DOS GOYTACAZES;2017;13431667.26;0;341221031.68;0;165982.72;629284.34;125808462.57;481256428.57
CAMPOS DOS GOYTACAZES;2018;20616171.87;0;461181887.58;0;106817.92;965972.16;243821891.95;726692741.48
CAMPOS DOS GOYTACAZES;2019;21206335.43;3370025.63;367347077.31;0;104736.04;993045.71;128022519.12;521043739.24
CAMPOS DOS GOYTACAZES;2020;22183157.23;0;284565976.12;0;3493139.51;984199.77;6987268.69;318213741.32
CANTAGALO;2016;1226772.23;0;4595167.55;0;434175.04;112815.55;0;6368930.37
CANTAGALO;2017;1605976.25;0;6137266.34;0;400558.40;148514.71;0;8292315.70
