municipio,casos,obitos,casopor100k,obitopor100k,pop,ano,saude,letalidade,saudepop
ANGRA DOS REIS,21025,588,10317.2,288.5,203785,2019,292131036.69,0.027966706302021402,1433.5257093996124
ANGRA DOS REIS,21025,588,10317.2,288.5,203785,2020,395111917.01,0.027966706302021402,1938.8665358588707
APERIBE,1454,32,12365.0,272.1,11759,2019,9375672.11,0.02200825309491059,797.3188289820563
APERIBE,1454,32,12365.0,272.1,11759,2020,16715142.79,0.02200825309491059,1421.47655327834
ARARUAMA,8973,498,6777.2,376.1,132400,2020,116698776.32,0.05549983283182882,881.4106972809667
ARARUAMA,8973,498,6777.2,376.1,132400,2019,69174627.28,0.05549983283182882,522.4669734138973
AREAL,1811,51,14405.0,405.7,12572,2020,20720426.92,0.02816123688569851,1648.140862233535
AREAL,1811,51,14405.0,405.7,12572,2019,17201299.08,0.02816123688569851,1368.2229621380845
ARMACAO DOS BUZIOS,7095,80,20947.7,236.2,33870,2019,66936933.93,0.01127554615926709,1976.2897528786536
ARMACAO DOS BUZIOS,7095,80,20947.7,236.2,33870,2020,85035307.07,0.01127554615926709,2510.63794124594
ARRAIAL DO CABO,1910,48,6293.5,158.2,30349,2020,40864539.19,0.025130890052356022,1346.4871722297273
ARRAIAL DO CABO,1910,48,6293.5,158.2,30349,2019,32040311.2,0.025130890052356022,1055.728729117928
BARRA DO PIRAI,9531,431,9495.5,429.4,100374,2019,65284716.19,0.04522085825201973,650.4146112539104
BARRA DO PIRAI,9531,431,9495.5,429.4,100374,2020,85104386.5,0.04522085825201973,847.8728206507661
BARRA MANSA,41710,719,22617.8,389.9,184412,2020,150158046.34,0.017238072404699115,814.253119862048
BARRA MANSA,41710,719,22617.8,389.9,184412,2019,123566560.73,0.017238072404699115,670.0570501377351
BELFORD ROXO,34812,996,6813.8,194.9,510906,2019,164599745.35,0.028610823853843503,322.17226916497356
BELFORD ROXO,34812,996,6813.8,194.9,510906,2020,255658481.35,0.028610823853843503,500.4021901289082
BOM JARDIM,3632,58,13233.3,211.3,27446,2020,27278865.88,0.015969162995594713,993.9104379508854
BOM JARDIM,3632,58,13233.3,211.3,27446,2019,22601914.39,0.015969162995594713,823.5048600889019
BOM JESUS DO ITABAPOANA,6489,116,17492.5,312.7,37096,2019,37571456.25,0.01787640622592079,1012.8169142225577
BOM JESUS DO ITABAPOANA,6489,116,17492.5,312.7,37096,2020,64909682.24,0.01787640622592079,1749.775777442312
CABO FRIO,24012,957,10600.2,422.5,226525,2020,255976669.03,0.03985507246376811,1130.0150933892508
CABO FRIO,24012,957,10600.2,422.5,226525,2019,197087929.59,0.03985507246376811,870.049352565942
CACHOEIRAS DE MACACU,3713,118,6299.9,200.2,58937,2019,50665889.1,0.031780231618637224,859.6618270356482
CACHOEIRAS DE MACACU,3713,118,6299.9,200.2,58937,2020,66592149.61,0.031780231618637224,1129.8869913636595
CAMBUCI,2688,42,17336.3,270.9,15505,2020,17173217.39,0.015625,1107.5922212189616
CAMBUCI,2688,42,17336.3,270.9,15505,2019,14845537.9,0.015625,957.4677781360851
CAMPOS DOS GOYTACAZES,46983,2072,9256.9,408.2,507548,2020,746703402.71,0.044101057829427665,1471.197606354473
CAMPOS DOS GOYTACAZES,46983,2072,9256.9,408.2,507548,2019,777508183.19,0.044101057829427665,1531.89094073861
CANTAGALO,4597,34,22789.0,168.6,20172,2019,22074125.73,0.0073961279095062,1094.2953465199287
CANTAGALO,4597,34,22789.0,168.6,20172,2020,26390946.73,0.0073961279095062,1308.2959909775927
CARAPEBUS,2149,16,13183.2,98.2,16301,2020,32077833.04,0.007445323406235459,1967.8444905220538
CARAPEBUS,2149,16,13183.2,98.2,16301,2019,24506640.91,0.007445323406235459,1503.3826703883196
CARDOSO MOREIRA,1865,21,14544.2,163.8,12823,2020,18818924.7,0.011260053619302948,1467.59141386571
CARDOSO MOREIRA,1865,21,14544.2,163.8,12823,2019,13890665.65,0.011260053619302948,1083.2617679170241
CARMO,3614,55,19126.8,291.1,18895,2019,21780038.39,0.015218594355285003,1152.687927494046
CARMO,3614,55,19126.8,291.1,18895,2020,25039157.49,0.015218594355285003,1325.1737226779571
CASIMIRO DE ABREU,6232,157,14104.7,355.3,44184,2020,63910859.33,0.02519255455712452,1446.4706529512946
CASIMIRO DE ABREU,6232,157,14104.7,355.3,44184,2019,61931239.12,0.02519255455712452,1401.6666467499547
COMENDADOR LEVY GASPARIAN,1330,32,15535.6,373.8,8561,2020,14264007.05,0.02406015037593985,1666.1613187711716
COMENDADOR LEVY GASPARIAN,1330,32,15535.6,373.8,8561,2019,11121753.3,0.02406015037593985,1299.118479149632
CONCEICAO DE MACABU,2281,79,9820.0,340.1,23228,2020,30312454.32,0.03463393248575186,1304.9963113483727
CONCEICAO DE MACABU,2281,79,9820.0,340.1,23228,2019,19356180.08,0.03463393248575186,833.3123850525227
CORDEIRO,5804,26,26470.9,118.6,21926,2019,19172209.47,0.004479669193659545,874.4052481072698
CORDEIRO,5804,26,26470.9,118.6,21926,2020,23994084.31,0.004479669193659545,1094.321094134817
DUAS BARRAS,306,7,2662.7,60.9,11492,2020,17777021.13,0.02287581699346405,1546.904031500174
DUAS BARRAS,306,7,2662.7,60.9,11492,2019,13760561.25,0.02287581699346405,1197.4035198398885
DUQUE DE CAXIAS,32150,1847,3496.1,200.8,919596,2019,615759576.23,0.05744945567651633,669.5979280357897
DUQUE DE CAXIAS,32150,1847,3496.1,200.8,919596,2020,827833053.87,0.05744945567651633,900.213848113737
ENGENHEIRO PAULO DE FRONTIN,2149,68,15347.8,485.6,14002,2020,21060275.68,0.0316426244765007,1504.090535637766
ENGENHEIRO PAULO DE FRONTIN,2149,68,15347.8,485.6,14002,2019,15250919.16,0.0316426244765007,1089.195769175832
GUAPIMIRIM,5896,200,9742.7,330.5,60517,2019,41541928.06,0.033921302578018994,686.4505520762762
GUAPIMIRIM,5896,200,9742.7,330.5,60517,2020,57840642.04,0.033921302578018994,955.7751051770576
IGUABA GRANDE,6559,150,23168.5,529.8,28310,2020,39307087.1,0.02286933983839,1388.4523878488167
IGUABA GRANDE,6559,150,23168.5,529.8,28310,2019,28818913.05,0.02286933983839,1017.9764411868598
ITABORAI,25641,942,10657.5,391.5,240592,2019,129891050.82,0.03673803673803674,539.8810052703332
ITABORAI,25641,942,10657.5,391.5,240592,2020,173138321.67,0.03673803673803674,719.6345750066502
ITAGUAI,15057,419,11319.4,315.0,133019,2020,130461081.41,0.027827588497044566,980.7702765018531
ITAGUAI,15057,419,11319.4,315.0,133019,2019,105407810.98,0.027827588497044566,792.4267283621137
ITALVA,992,36,6523.3,236.7,15207,2020,22460558.42,0.036290322580645164,1476.9881252054977
ITALVA,992,36,6523.3,236.7,15207,2019,13774439.29,0.036290322580645164,905.7959683040705
ITAOCARA,4337,84,18666.6,361.5,23234,2020,32621830.48,0.01936822688494351,1404.0557149005767
ITAOCARA,4337,84,18666.6,361.5,23234,2019,23993971.22,0.01936822688494351,1032.7094439183954
ITAPERUNA,18384,295,17809.8,285.8,103224,2020,129690129.86,0.01604656222802437,1256.3951199333487
ITAPERUNA,18384,295,17809.8,285.8,103224,2019,141117334.64,0.01604656222802437,1367.098103541812
ITATIAIA,3436,81,10803.3,254.7,31805,2020,51527881.96,0.02357392316647264,1620.118910863072
ITATIAIA,3436,81,10803.3,254.7,31805,2019,40772234.59,0.02357392316647264,1281.9441782738563
JAPERI,1528,154,1458.5,147.0,104768,2019,44123791.97,0.10078534031413612,421.15714693417834
JAPERI,1528,154,1458.5,147.0,104768,2020,64301075.04,0.10078534031413612,613.7472800855223
LAJE DO MURIAE,920,15,12508.5,203.9,7355,2020,16724370.62,0.016304347826086956,2273.8777185588033
LAJE DO MURIAE,920,15,12508.5,203.9,7355,2019,11139087.73,0.016304347826086956,1514.4918735554045
MACAE,44826,852,17464.3,331.9,256672,2020,579423437.73,0.01900682639539553,2257.447005244047
MACAE,44826,852,17464.3,331.9,256672,2019,539860752.49,0.01900682639539553,2103.3098759895897
MACUCO,1433,14,25593.9,250.0,5599,2020,15262103.33,0.009769713886950453,2725.8623557778174
MACUCO,1433,14,25593.9,250.0,5599,2019,12236468.68,0.009769713886950453,2185.4739560635826
MAGE,19887,703,8114.8,286.9,245071,2020,165185235.55,0.03534972595162669,674.0301200468436
MAGE,19887,703,8114.8,286.9,245071,2019,126459457.67,0.03534972595162669,516.0115136837896
MANGARATIBA,4313,170,9699.1,382.3,44468,2019,55814037.28,0.039415719916531415,1255.1506089772422
MANGARATIBA,4313,170,9699.1,382.3,44468,2020,0.0,0.039415719916531415,0.0
MARICA,21890,740,13578.8,459.0,161207,2019,234717920.43,0.03380539058931019,1456.003277959394
MARICA,21890,740,13578.8,459.0,161207,2020,516491315.96,0.03380539058931019,3203.9012943606667
MENDES,4559,62,24492.3,333.1,18614,2020,22530276.64,0.01359947356876508,1210.3941463414635
MENDES,4559,62,24492.3,333.1,18614,2019,15954999.27,0.01359947356876508,857.1504926399484
MESQUITA,5515,531,3131.7,301.5,176103,2019,74405388.29,0.09628286491387127,422.51062327160815
MESQUITA,5515,531,3131.7,301.5,176103,2020,100235817.04,0.09628286491387127,569.1885830451497
MIGUEL PEREIRA,5017,80,19645.2,313.3,25538,2019,38927510.21,0.015945784333266894,1524.2975256480538
MIGUEL PEREIRA,5017,80,19645.2,313.3,25538,2020,48447377.24,0.015945784333266894,1897.0701401832564
MIRACEMA,3595,149,13229.6,548.3,27174,2019,25098150.95,0.04144645340751043,923.6089994112018
MIRACEMA,3595,149,13229.6,548.3,27174,2020,34251590.41,0.04144645340751043,1260.4544936336201
NATIVIDADE,1534,30,10015.0,195.9,15317,2019,20838925.35,0.01955671447196871,1360.5095873865641
NATIVIDADE,1534,30,10015.0,195.9,15317,2020,26592467.01,0.01955671447196871,1736.1406940001307
NILOPOLIS,6518,623,4011.4,383.4,162485,2020,90367098.68,0.09558146670757901,556.1565601747855
NILOPOLIS,6518,623,4011.4,383.4,162485,2019,61745536.2,0.09558146670757901,380.00760808690035
NITEROI,70139,2655,13656.8,517.0,513584,2020,644145565.84,0.03785340538074395,1254.2165757500234
NITEROI,70139,2655,13656.8,517.0,513584,2019,460113490.06,0.03785340538074395,895.887508294651
NOVA FRIBURGO,33457,905,17550.7,474.7,190631,2019,180732114.85,0.027049645814029948,948.0730565857599
NOVA FRIBURGO,33457,905,17550.7,474.7,190631,2020,180414144.8,0.027049645814029948,946.4050694797804
NOVA IGUACU,37704,2185,4591.7,266.1,821128,2020,543292807.78,0.0579514109908763,661.6420433598659
NOVA IGUACU,37704,2185,4591.7,266.1,821128,2019,437601421.92,0.0579514109908763,532.9271708186787
PARACAMBI,4515,139,8640.0,266.0,52257,2019,46042903.62,0.03078626799557032,881.0858568230093
PARACAMBI,4515,139,8640.0,266.0,52257,2020,72055534.4,0.03078626799557032,1378.8685611497026
PARAIBA DO SUL,8967,180,20248.4,406.5,44285,2019,32928455.07,0.020073603211776515,743.5577525121373
PARAIBA DO SUL,8967,180,20248.4,406.5,44285,2020,56301553.31,0.020073603211776515,1271.3459029016597
PARATY,4622,96,10707.7,222.4,43165,2020,95233627.88,0.02077022933794894,2206.269613807483
PARATY,4622,96,10707.7,222.4,43165,2019,82247909.04,0.02077022933794894,1905.4305349241286
PATY DO ALFERES,3772,97,13583.5,349.3,27769,2020,36788950.81,0.025715800636267234,1324.8208725557276
PATY DO ALFERES,3772,97,13583.5,349.3,27769,2019,29173214.35,0.025715800636267234,1050.5676959919335
PETROPOLIS,34048,1579,11119.9,515.7,306191,2019,352518466.26,0.046375704887218046,1151.3025081076844
PETROPOLIS,34048,1579,11119.9,515.7,306191,2020,400835429.28,0.046375704887218046,1309.1025839427023
PINHEIRAL,4755,81,18902.1,322.0,25156,2019,27872137.71,0.017034700315457414,1107.9717645889648
PINHEIRAL,4755,81,18902.1,322.0,25156,2020,30298000.1,0.017034700315457414,1204.4045197964701
PINHEIRAL,4755,81,18902.1,322.0,25156,2021,35435783.04,0.017034700315457414,1408.641399268564
PIRAI,6515,111,22253.0,379.1,29277,2020,58749692.9,0.0170376055257099,2006.6841855381356
PIRAI,6515,111,22253.0,379.1,29277,2019,52680674.43,0.0170376055257099,1799.38772517676
PORCIUNCULA,3109,97,16496.0,514.7,18847,2019,20402123.97,0.031199742682534577,1082.5130774128509
PORCIUNCULA,3109,97,16496.0,514.7,18847,2020,28878453.88,0.031199742682534577,1532.2573290178807
PORTO REAL,3108,42,15790.3,213.4,19683,2020,49938840.23,0.013513513513513514,2537.1559330386626
PORTO REAL,3108,42,15790.3,213.4,19683,2019,46395600.64,0.013513513513513514,2357.140712289793
QUATIS,1378,32,9635.0,223.7,14302,2020,13468550.3,0.023222060957910014,941.724954551811
QUATIS,1378,32,9635.0,223.7,14302,2019,12858325.1,0.023222060957910014,899.0578310725772
QUEIMADOS,10071,256,6699.8,170.3,150319,2019,81025684.68,0.025419521398073675,539.0249049022412
QUEIMADOS,10071,256,6699.8,170.3,150319,2020,114203523.74,0.025419521398073675,759.7411088418629
QUISSAMA,5160,109,20890.7,441.3,24700,2019,73238216.78,0.02112403100775194,2965.1099910931175
QUISSAMA,5160,109,20890.7,441.3,24700,2020,87584555.92,0.02112403100775194,3545.93343805668
RESENDE,20500,556,15608.2,423.3,131341,2019,180090524.3,0.027121951219512195,1371.1676041753908
RESENDE,20500,556,15608.2,423.3,131341,2020,196470308.33,0.027121951219512195,1495.8794917809366
RIO BONITO,12626,256,20973.1,425.2,60201,2020,96742426.63,0.020275621732932046,1606.9903594624673
RIO BONITO,12626,256,20973.1,425.2,60201,2019,65429171.73,0.020275621732932046,1086.8452638660488
RIO CLARO,2140,71,11549.5,383.2,18529,2020,29807959.25,0.033177570093457946,1608.7192643963517
RIO CLARO,2140,71,11549.5,383.2,18529,2019,26085394.83,0.033177570093457946,1407.814497814237
RIO DAS FLORES,640,17,6893.6,183.1,9284,2019,16013369.61,0.0265625,1724.8351583369238
RIO DAS FLORES,640,17,6893.6,183.1,9284,2020,19093774.38,0.0265625,2056.632311503662
RIO DAS OSTRAS,20599,548,13671.2,363.7,150674,2019,130396371.18,0.026603233166658576,865.4205183376031
RIO DAS OSTRAS,20599,548,13671.2,363.7,150674,2020,164656878.78,0.026603233166658576,1092.8022006451013
RIO DE JANEIRO,895348,35847,13325.8,533.5,6718903,2020,4058745095.06,0.040036946528053896,604.0785370855926
RIO DE JANEIRO,895348,35847,13325.8,533.5,6718903,2019,3810959631.27,0.040036946528053896,567.1996799581717
SANTA MARIA MADALENA,408,11,3921.6,105.7,10404,2019,15359192.93,0.02696078431372549,1476.2776749327181
SANTA MARIA MADALENA,408,11,3921.6,105.7,10404,2020,19798673.98,0.02696078431372549,1902.9867339484813
SANTO ANTONIO DE PADUA,8448,164,19887.5,386.1,42479,2020,40352060.68,0.019412878787878788,949.9296282869183
SANTO ANTONIO DE PADUA,8448,164,19887.5,386.1,42479,2019,34097788.46,0.019412878787878788,802.6975319569669
SAO FIDELIS,752,105,1944.7,271.5,38669,2019,28430045.67,0.13962765957446807,735.2154353616593
SAO FIDELIS,752,105,1944.7,271.5,38669,2020,41628720.22,0.13962765957446807,1076.5398696630375
SAO FRANCISCO DE ITABAPOANA,3709,123,8788.1,291.4,42205,2020,37588885.33,0.03316257751415476,890.626355408127
SAO FRANCISCO DE ITABAPOANA,3709,123,8788.1,291.4,42205,2019,27599133.35,0.03316257751415476,653.9304193815899
SAO GONCALO,84339,3508,7774.3,323.4,1084839,2020,517409647.12,0.04159404308801385,476.94602343757924
SAO GONCALO,84339,3508,7774.3,323.4,1084839,2019,348102361.07,0.04159404308801385,320.8792835342387
SAO JOAO DA BARRA,6302,30,17456.1,83.1,36102,2019,114650101.97,0.004760393525864805,3175.727161099108
SAO JOAO DA BARRA,6302,30,17456.1,83.1,36102,2020,133655358.83,0.004760393525864805,3702.1594047421195
